Road_traffic_density,Weather_conditions,orders,avg_time,breach_rate
High,Cloudy,721,29.02912621359223,22.6
High,Fog,755,28.40794701986755,20.4
High,Sandstorms,679,27.705449189985274,24.7
High,Stormy,715,27.78181818181818,27.3
High,Sunny,717,23.26917712691771,16.2
High,Windy,716,26.977653631284916,22.5
Jam,Cloudy,2253,36.65734576120728,64.5
Jam,Fog,2352,36.76998299319728,66.1
Jam,Sandstorms,2303,29.951367781155014,35.5
Jam,Stormy,2239,29.82402858418937,35.5
Jam,Sunny,2211,23.042514699231116,12.8
Jam,Windy,2268,30.24029982363316,38.1
Low,Cloudy,2304,22.014322916666668,12.3
Low,Fog,2294,21.951612903225808,11.8
Low,Sandstorms,2292,20.353839441535776,2.0
Low,Stormy,2376,20.74915824915825,1.5
Low,Sunny,2196,21.274134790528233,8.4
Low,Windy,2211,20.69380370872908,2.2
Medium,Cloudy,1766,28.396942242355607,38.6
Medium,Fog,1792,28.053571428571427,39.0
Medium,Sandstorms,1724,27.81322505800464,23.1
Medium,Stormy,1773,27.67794698251551,23.2
Medium,Sunny,1720,20.19360465116279,5.6
Medium,Windy,1789,27.79262157629961,22.1
