City,order_hour,orders,breach_rate,avg_time
Metropolitian,8,1306,0.8,20.230474732006126
Metropolitian,9,1363,0.3,20.075568598679382
Metropolitian,10,1406,0.6,20.229018492176387
Metropolitian,11,1507,18.8,27.269409422694093
Metropolitian,12,705,19.9,27.656737588652483
Metropolitian,13,617,19.1,28.021069692058347
Metropolitian,14,624,21.0,28.21153846153846
Metropolitian,15,626,7.3,24.14856230031949
Metropolitian,16,524,6.3,23.71564885496183
Metropolitian,17,3358,28.4,28.142644431209053
Metropolitian,18,3494,26.7,27.95220377790498
Metropolitian,19,3676,41.0,31.348204570184983
Metropolitian,20,3578,42.3,31.742593627724986
Metropolitian,21,3737,41.8,31.64195879047364
Metropolitian,22,3406,12.7,23.970346447445685
Metropolitian,23,2735,10.2,23.142230347349177
Semi-Urban,11,5,0.0,49.6
Semi-Urban,12,4,0.0,49.5
Semi-Urban,13,5,40.0,50.8
Semi-Urban,14,2,0.0,51.0
Semi-Urban,17,5,0.0,48.6
Semi-Urban,18,5,0.0,46.2
Semi-Urban,19,35,14.3,49.82857142857143
Semi-Urban,20,53,7.5,49.905660377358494
Semi-Urban,21,40,15.0,49.925
Semi-Urban,22,1,0.0,47.0
Urban,8,508,2.8,17.915354330708663
Urban,9,571,5.1,18.316987740805605
Urban,10,581,3.6,17.691910499139414
Urban,11,441,26.8,22.96371882086168
Urban,12,180,23.9,23.072222222222223
Urban,13,157,33.8,24.96815286624204
Urban,14,163,31.3,24.73006134969325
Urban,15,244,15.2,20.770491803278688
Urban,16,182,15.4,20.63186813186813
Urban,17,864,29.7,24.211805555555557
Urban,18,929,31.6,24.543595263724434
Urban,19,819,44.4,27.644688644688646
Urban,20,854,44.5,27.61241217798595
Urban,21,854,43.3,27.682669789227166
Urban,22,1107,13.6,20.77416440831075
Urban,23,895,10.2,20.34748603351955
